id/SKU,title,description,link,custom_label_0,custom_label_1,custom_label_2,custom_label_3,condition,price,gtin/UPC,mpn,google_product_category,brand,age_group,gender,size,material,pattern,color,shipping_weight,shipping_length,shipping_width,shipping_height,item_group_id,availability,image_link,additional_image_link
FME-SKU-001-01,An Incredible FME Dummy Product - Pink,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",{product link goes here},Top-level Category,Second-Level Category,Third-Level Category,Fourth-Level Category,New,109.99 USD,1000000000000,FME-SKU-001-01,Apparel & Accessories > Shoes,FME Brand,adult,unisex,,,,White/White,1.5 lb,12 in,6 in,6 in,FME-SKU-001,in stock,{image url},{second image url}
FME-SKU-001-02,An Incredible FME Dummy Product - Red,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",{product link goes here},Top-level Category,Second-Level Category,Third-Level Category,Fourth-Level Category,New,89.99 USD,1000000000000,FME-SKU-001-02,Apparel & Accessories > Shoes,FME Brand,kids,unisex,10,,,White,1.5 lb,12 in,6 in,6 in,FME-SKU-001,in stock,{image url},{second image url}
FME-SKU-001-03,An Incredible FME Dummy Product - Orange,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",{product link goes here},Top-level Category,Second-Level Category,Third-Level Category,Fourth-Level Category,New,89.99 USD,1000000000000,FME-SKU-001-03,Apparel & Accessories > Shoes,FME Brand,kids,unisex,10,,,White,1.5 lb,12 in,6 in,6 in,FME-SKU-001,in stock,{image url},{second image url}
FME-SKU-001-04,An Incredible FME Dummy Product - Blue,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",{product link goes here},Top-level Category,Second-Level Category,Third-Level Category,Fourth-Level Category,New,89.99 USD,1000000000000,FME-SKU-001-04,Apparel & Accessories > Shoes,FME Brand,kids,unisex,11,,,White,1.5 lb,12 in,6 in,6 in,FME-SKU-001,in stock,{image url},{second image url}
FME-SKU-002,A Widget Made in China,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",{product link goes here},Top-level Category,Second-Level Category,Third-Level Category,Fourth-Level Category,New,89.99 USD,1000000000000,FME-SKU-002,Apparel & Accessories > Shoes,FME Brand,kids,unisex,12,,,White,1.5 lb,12 in,6 in,6 in,,out of stock,{image url},{second image url}
FME-SKU-003,A Widget Made in Japan,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",{product link goes here},Top-level Category,Second-Level Category,Third-Level Category,Fourth-Level Category,New,89.99 USD,1000000000000,FME-SKU-003,Apparel & Accessories > Shoes,FME Brand,kids,unisex,13,,,White,1.5 lb,12 in,6 in,6 in,,in stock,{image url},{second image url}
FME-SKU-004,A Widget Made in Australia,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",{product link goes here},Top-level Category,Second-Level Category,Third-Level Category,Fourth-Level Category,New,89.99 USD,1000000000000,FME-SKU-004,Apparel & Accessories > Shoes,FME Brand,kids,unisex,1,,,White,1.5 lb,12 in,6 in,6 in,,in stock,{image url},{second image url}
FME-SKU-005,A Widget Made in Germany,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",{product link goes here},Top-level Category,Second-Level Category,Third-Level Category,Fourth-Level Category,New,89.99 USD,1000000000000,FME-SKU-005,Apparel & Accessories > Shoes,FME Brand,kids,unisex,2,,,White,1.5 lb,12 in,6 in,6 in,,in stock,{image url},{second image url}
FME-SKU-006-01,An Amazing Widget With A Variation of Blue,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",{product link goes here},Top-level Category,Second-Level Category,Third-Level Category,Fourth-Level Category,New,89.99 USD,1000000000000,FME-SKU-006-01,Apparel & Accessories > Shoes,FME Brand,kids,unisex,3,,,White,1.5 lb,12 in,6 in,6 in,FME-SKU-006,in stock,{image url},{second image url}
FME-SKU-006-02,An Amazing Widget With A Variation of Red,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",{product link goes here},Top-level Category,Second-Level Category,Third-Level Category,Fourth-Level Category,New,89.99 USD,1000000000000,FME-SKU-006-02,Apparel & Accessories > Shoes,FME Brand,Adult,unisex,4,,,White,1.5 lb,12 in,6 in,6 in,FME-SKU-006,in stock,{image url},{second image url}
FME-SKU-006-03,An Amazing Widget With A Variation of Green,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",{product link goes here},Top-level Category,Second-Level Category,Third-Level Category,Fourth-Level Category,New,89.99 USD,1000000000000,FME-SKU-006-03,Apparel & Accessories > Shoes,FME Brand,Adult,unisex,4.5,,,White,1.5 lb,12 in,6 in,6 in,FME-SKU-006,in stock,{image url},{second image url}
FME-SKU-006-04,An Amazing Widget With A Variation of Gold,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",{product link goes here},Top-level Category,Second-Level Category,Third-Level Category,Fourth-Level Category,New,89.99 USD,1000000000000,FME-SKU-006-04,Apparel & Accessories > Shoes,FME Brand,Adult,unisex,5,,,White,1.5 lb,12 in,6 in,6 in,FME-SKU-006,in stock,{image url},{second image url}
FME-SKU-007,A Widget Made for Porsche,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",{product link goes here},Top-level Category,Second-Level Category,Third-Level Category,Fourth-Level Category,New,89.99 USD,1000000000000,FME-SKU-007,Apparel & Accessories > Shoes,FME Brand,Adult,unisex,5.5,,,White,1.5 lb,12 in,6 in,6 in,,in stock,{image url},{second image url}
FME-SKU-008,A Widget Made for BMW,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",{product link goes here},Top-level Category,Second-Level Category,Third-Level Category,Fourth-Level Category,New,89.99 USD,1000000000000,FME-SKU-008,Apparel & Accessories > Shoes,FME Brand,Adult,unisex,6,,,White,1.5 lb,12 in,6 in,6 in,,in stock,{image url},{second image url}
FME-SKU-009,A Widget Made for Mercedes-Benz,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",{product link goes here},Top-level Category,Second-Level Category,Third-Level Category,Fourth-Level Category,New,89.99 USD,1000000000000,FME-SKU-009,Apparel & Accessories > Shoes,FME Brand,Adult,unisex,6.5,,,White,1.5 lb,12 in,6 in,6 in,,in stock,{image url},{second image url}
FME-SKU-010,A Widget Made for Ford,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",{product link goes here},Top-level Category,Second-Level Category,Third-Level Category,Fourth-Level Category,New,89.99 USD,1000000000000,FME-SKU-010,Apparel & Accessories > Shoes,FME Brand,Adult,unisex,7,,,White,1.5 lb,12 in,6 in,6 in,,in stock,{image url},{second image url}
FME-SKU-011,A Widget Made for Chevrolet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",{product link goes here},Top-level Category,Second-Level Category,Third-Level Category,Fourth-Level Category,New,89.99 USD,1000000000000,FME-SKU-011,Apparel & Accessories > Shoes,FME Brand,Adult,unisex,7.5,,,White,1.5 lb,12 in,6 in,6 in,,out of stock,{image url},{second image url}
FME-SKU-012,A Widget Made for Nissan,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",{product link goes here},Top-level Category,Second-Level Category,Third-Level Category,Fourth-Level Category,New,89.99 USD,1000000000000,FME-SKU-012,Apparel & Accessories > Shoes,FME Brand,Adult,unisex,8,,,White,1.5 lb,12 in,6 in,6 in,,in stock,{image url},{second image url}
FME-SKU-013,A Widget Made for Lexus,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",{product link goes here},Top-level Category,Second-Level Category,Third-Level Category,Fourth-Level Category,New,89.99 USD,1000000000000,FME-SKU-013,Apparel & Accessories > Shoes,FME Brand,Adult,unisex,8.5,,,White,1.5 lb,12 in,6 in,6 in,,in stock,{image url},{second image url}
FME-SKU-014,A Widget Made for Ferrari,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",{product link goes here},Top-level Category,Second-Level Category,Third-Level Category,Fourth-Level Category,New,89.99 USD,1000000000000,FME-SKU-014,Apparel & Accessories > Shoes,FME Brand,Adult,unisex,9,,,White,1.5 lb,12 in,6 in,6 in,,in stock,{image url},{second image url}